order_id,product_id,quantity,unit_price
1,60,1,7885.67
1,299,1,57148.25
1,43,1,65197.35
1,122,1,2812.06
2,178,5,41263.54
3,77,1,15725.27
3,59,1,42861.0
3,128,1,56782.94
3,239,1,51203.7
4,264,5,4096.9
5,155,4,72294.98
6,128,2,38646.76
6,272,1,80037.07
6,37,1,28480.99
7,194,2,4793.11
7,255,2,6586.36
7,111,2,2499.54
7,178,1,81347.89
8,157,4,3556.24
8,142,1,15237.87
9,154,2,66273.43
9,238,1,47950.97
10,254,3,49626.18
10,240,4,4042.97
10,242,5,74956.81
11,266,4,25272.87
11,64,2,35503.76
11,62,5,8941.39
11,249,4,69543.66
12,99,3,9370.89
12,81,5,77197.51
12,138,2,72103.99
13,229,1,6855.21
13,110,1,76056.19
13,20,2,43168.93
14,163,3,80340.28
15,300,3,72831.63
16,104,1,33835.03
16,236,5,20239.82
16,185,2,43874.41
16,216,2,80975.78
17,155,1,69129.61
17,274,2,42564.5
18,171,2,11302.24
18,85,2,71630.18
18,36,3,14701.98
18,32,1,64470.42
19,112,1,36898.53
19,167,2,82600.69
20,144,5,53780.12
20,156,4,27246.58
20,296,2,71327.35
20,48,3,23775.4
21,290,3,44787.41
21,193,3,18336.73
21,204,1,29839.14
21,226,2,66079.8
22,195,3,406.62
22,246,4,25505.4
23,96,4,53488.76
23,81,3,50359.02
23,178,2,14528.81
23,291,4,68360.51
24,15,4,56227.62
24,54,1,31289.91
24,244,1,77883.8
24,170,3,64103.36
25,153,5,28233.09
25,151,5,16698.42
25,143,1,45485.59
26,174,5,28542.45
26,165,4,22883.59
27,126,3,31734.26
28,203,1,56561.0
29,107,2,84207.99
30,223,5,77158.69
30,157,3,59396.92
30,297,2,29688.31
31,10,5,28275.88
32,84,4,42549.98
32,72,5,52998.73
33,75,5,80674.38
34,85,5,64176.1
34,202,3,11131.72
35,21,3,6023.78
35,189,4,75359.07
35,37,3,19527.1
35,102,3,79893.13
36,253,1,2729.38
36,42,3,36357.89
36,175,2,41425.18
36,124,1,73488.79
37,191,4,14958.57
37,10,2,65947.96
37,281,2,42756.86
38,131,1,79783.08
38,240,3,50889.62
39,148,4,34814.85
39,189,2,24390.2
39,161,5,83759.58
40,279,5,3201.49
41,274,5,50533.92
41,276,2,27525.0
42,140,2,38941.86
42,87,1,82214.19
42,279,4,20468.8
43,140,2,30206.9
43,210,5,41425.93
43,247,4,43815.06
43,191,5,8898.21
44,297,2,9195.94
44,241,4,8404.46
44,286,2,68693.76
44,132,2,84310.9
45,172,4,81320.65
