order_id,shipping_date,delivery_date,courier_name,shipping_status
1,2023-08-23,2023-08-27,Ekart,Delivered
2,2023-10-04,2023-10-10,Blue Dart,Delivered
3,2024-04-01,2024-04-07,Ekart,Delivered
4,2024-02-03,2024-02-05,Blue Dart,Delivered
5,,,DTDC,Pending
6,2023-04-17,2023-04-19,Ecom Express,Delivered
7,2024-08-13,2024-08-19,DTDC,Delivered
8,2023-04-20,2023-04-23,DTDC,Delivered
9,2024-05-28,,XpressBees,In Transit
10,2024-08-23,2024-08-27,Ekart,Delivered
11,2023-06-01,2023-06-03,Ekart,Delivered
12,2024-07-13,2024-07-20,XpressBees,Delivered
13,2023-04-07,2023-04-10,Blue Dart,Delivered
14,2024-03-25,,Ecom Express,In Transit
15,2024-07-31,2024-08-05,Delhivery,Delivered
16,2025-04-10,2025-04-17,Blue Dart,Delivered
17,2024-07-03,2024-07-09,DTDC,Delivered
18,2023-11-10,,Blue Dart,In Transit
19,2023-06-26,,Ekart,In Transit
20,,,XpressBees,Pending
21,2024-08-23,2024-08-30,DTDC,Delivered
22,,,Ecom Express,Pending
23,2023-05-03,2023-05-10,XpressBees,Delivered
24,2024-01-30,,Ecom Express,In Transit
25,2024-05-24,2024-05-29,XpressBees,Delivered
26,2024-03-31,2024-04-07,Ecom Express,Delivered
27,2024-10-05,2024-10-12,Ekart,Delivered
28,2024-09-11,2024-09-17,Blue Dart,Delivered
29,2025-04-21,2025-04-27,Ekart,Delivered
30,2024-12-14,2024-12-21,DTDC,Delivered
31,2024-12-21,2024-12-28,XpressBees,Delivered
32,2023-01-14,2023-01-19,DTDC,Delivered
33,2024-06-12,2024-06-15,Delhivery,Delivered
34,,,DTDC,Pending
35,2023-10-01,2023-10-04,Ekart,Delivered
36,2024-08-29,2024-09-01,Blue Dart,Delivered
37,2024-04-17,2024-04-19,DTDC,Delivered
38,2023-04-10,2023-04-17,Ekart,Delivered
39,2025-02-01,,Delhivery,In Transit
40,2024-10-20,2024-10-26,DTDC,Delivered
41,2024-04-18,2024-04-23,Ekart,Delivered
42,2024-11-27,2024-12-02,Blue Dart,Delivered
43,2023-01-12,,DTDC,In Transit
44,2023-05-25,2023-05-30,XpressBees,Delivered
45,2025-02-01,2025-02-05,Ecom Express,Delivered
46,,,Ecom Express,Pending
47,2024-03-01,2024-03-03,DTDC,Delivered
48,2023-03-03,2023-03-10,Ekart,Delivered
49,2023-01-29,,Blue Dart,In Transit
50,,,Ekart,Pending
51,2023-07-03,2023-07-08,DTDC,Delivered
52,2023-07-16,,Blue Dart,In Transit
53,2024-12-16,2024-12-20,Delhivery,Delivered
54,2025-05-18,2025-05-23,Delhivery,Delivered
55,2025-02-26,2025-03-03,Ecom Express,Delivered
56,2024-11-13,2024-11-15,DTDC,Delivered
57,2024-01-26,2024-01-30,XpressBees,Delivered
58,2024-02-01,,Delhivery,In Transit
59,,,Delhivery,Pending
60,2024-10-17,2024-10-20,XpressBees,Delivered
61,2024-02-19,2024-02-21,XpressBees,Delivered
62,2024-05-05,2024-05-12,DTDC,Delivered
63,2023-07-25,2023-07-30,XpressBees,Delivered
64,2025-03-03,2025-03-08,XpressBees,Delivered
65,,,Ekart,Pending
66,2023-06-11,2023-06-15,DTDC,Delivered
67,2025-01-29,2025-02-03,DTDC,Delivered
68,2023-12-26,2023-12-30,Delhivery,Delivered
69,2023-06-27,2023-07-01,Ekart,Delivered
70,2025-05-14,2025-05-17,Delhivery,Delivered
71,2024-03-09,2024-03-15,DTDC,Delivered
72,2023-05-02,2023-05-07,Blue Dart,Delivered
73,2024-09-11,2024-09-16,Delhivery,Delivered
74,2023-11-30,2023-12-07,XpressBees,Delivered
75,2025-04-11,2025-04-15,DTDC,Delivered
76,2023-08-02,2023-08-07,Blue Dart,Delivered
77,2024-12-04,2024-12-11,Ecom Express,Delivered
78,2024-05-21,,Delhivery,In Transit
79,,,Ekart,Pending
80,2023-11-15,2023-11-22,DTDC,Delivered
81,2025-03-01,2025-03-08,Ekart,Delivered
82,2023-03-19,,Ecom Express,In Transit
83,2025-01-16,,DTDC,In Transit
84,2024-11-24,,XpressBees,In Transit
85,2024-11-10,2024-11-12,Blue Dart,Delivered
86,2024-04-13,2024-04-18,Ecom Express,Delivered
87,,,DTDC,Pending
88,2025-06-11,2025-06-14,Blue Dart,Delivered
89,2025-05-09,2025-05-12,DTDC,Delivered
90,2024-05-11,2024-05-15,Ecom Express,Delivered
91,2023-02-07,2023-02-13,Ecom Express,Delivered
92,2024-03-25,,Ekart,In Transit
93,2025-02-22,,Ecom Express,In Transit
94,,,Blue Dart,Pending
95,2024-03-10,2024-03-16,Ecom Express,Delivered
96,2023-04-02,2023-04-09,Delhivery,Delivered
97,2024-02-02,2024-02-09,Blue Dart,Delivered
98,2023-12-13,2023-12-20,Blue Dart,Delivered
99,2024-07-22,2024-07-26,DTDC,Delivered
100,2024-12-09,2024-12-16,Ekart,Delivered
101,2024-07-02,2024-07-06,Blue Dart,Delivered
102,2024-03-09,2024-03-12,Blue Dart,Delivered
103,2025-01-25,2025-01-28,DTDC,Delivered
104,2024-12-28,2025-01-01,Delhivery,Delivered
105,2025-03-28,2025-03-30,Blue Dart,Delivered
106,,,Blue Dart,Pending
107,2024-03-04,2024-03-08,XpressBees,Delivered
108,2024-06-27,2024-06-29,Delhivery,Delivered
109,,,Ecom Express,Pending
110,2023-07-13,,XpressBees,In Transit
111,2024-06-15,2024-06-21,Ecom Express,Delivered
112,2023-10-24,,Ecom Express,In Transit
113,2024-07-19,2024-07-22,Ecom Express,Delivered
114,2023-11-11,2023-11-17,Ecom Express,Delivered
115,2024-01-24,2024-01-27,Ecom Express,Delivered
116,2024-04-01,2024-04-05,XpressBees,Delivered
117,2025-03-24,2025-03-27,Ecom Express,Delivered
118,2024-08-26,2024-09-01,XpressBees,Delivered
119,2024-09-17,2024-09-24,Blue Dart,Delivered
120,2023-06-08,,Delhivery,In Transit
121,2024-12-23,2024-12-27,XpressBees,Delivered
122,2024-11-18,2024-11-20,Blue Dart,Delivered
123,2023-12-23,2023-12-30,Blue Dart,Delivered
124,2023-07-14,2023-07-17,XpressBees,Delivered
125,2023-11-21,,Delhivery,In Transit
126,2025-05-16,2025-05-20,Ecom Express,Delivered
127,2023-01-26,2023-02-01,DTDC,Delivered
128,2024-11-09,2024-11-11,XpressBees,Delivered
129,2023-08-09,,DTDC,In Transit
130,2023-05-02,,Ekart,In Transit
131,2024-11-06,2024-11-11,Ecom Express,Delivered
132,2024-12-24,2024-12-27,XpressBees,Delivered
133,,,DTDC,Pending
134,2024-08-23,,Ekart,In Transit
135,2023-09-01,2023-09-04,Delhivery,Delivered
136,2023-06-09,,Ekart,In Transit
137,,,DTDC,Pending
138,2023-10-20,2023-10-27,Ekart,Delivered
139,2024-06-27,2024-07-04,DTDC,Delivered
140,2023-01-10,2023-01-17,Ekart,Delivered
141,2023-02-03,2023-02-10,Ekart,Delivered
142,2023-06-28,2023-07-03,XpressBees,Delivered
143,2023-01-30,2023-02-05,DTDC,Delivered
144,2025-04-21,2025-04-23,DTDC,Delivered
145,2025-06-06,2025-06-08,Ecom Express,Delivered
146,2025-02-23,2025-03-01,Delhivery,Delivered
147,2024-01-01,2024-01-03,XpressBees,Delivered
148,2023-06-20,2023-06-25,XpressBees,Delivered
149,,,XpressBees,Pending
150,,,Delhivery,Pending
151,2024-08-29,2024-09-04,Ekart,Delivered
152,2023-10-02,,XpressBees,In Transit
153,2025-01-26,2025-02-01,Blue Dart,Delivered
154,2024-08-29,2024-09-01,Ecom Express,Delivered
155,2024-03-18,2024-03-20,Blue Dart,Delivered
156,2023-07-27,2023-08-01,XpressBees,Delivered
157,2024-02-09,,XpressBees,In Transit
158,2023-11-24,2023-12-01,Delhivery,Delivered
159,2024-08-30,2024-09-06,Blue Dart,Delivered
160,2023-07-29,2023-08-04,DTDC,Delivered
161,,,Delhivery,Pending
162,2024-06-15,2024-06-19,DTDC,Delivered
163,2023-05-03,2023-05-08,Ecom Express,Delivered
164,2025-01-30,,XpressBees,In Transit
165,2023-09-23,2023-09-26,DTDC,Delivered
166,2023-01-13,2023-01-18,DTDC,Delivered
167,2024-01-16,2024-01-23,XpressBees,Delivered
168,2024-01-30,2024-02-04,XpressBees,Delivered
169,2023-10-27,2023-10-29,Blue Dart,Delivered
170,2024-09-12,2024-09-15,Ecom Express,Delivered
171,2024-05-21,,Delhivery,In Transit
172,2024-02-15,2024-02-18,XpressBees,Delivered
173,2023-12-23,,Blue Dart,In Transit
174,2025-05-26,2025-06-02,Delhivery,Delivered
175,2024-05-08,2024-05-15,Blue Dart,Delivered
176,2024-10-14,,DTDC,In Transit
177,2024-11-17,2024-11-22,Ecom Express,Delivered
178,2023-07-02,2023-07-06,DTDC,Delivered
179,2024-12-05,2024-12-07,Ecom Express,Delivered
180,2024-07-05,2024-07-12,DTDC,Delivered
181,2024-06-27,2024-07-03,Blue Dart,Delivered
182,2024-04-07,2024-04-13,Delhivery,Delivered
183,2024-03-06,2024-03-11,XpressBees,Delivered
184,2025-02-08,2025-02-15,DTDC,Delivered
185,2023-04-05,2023-04-11,Blue Dart,Delivered
186,2024-08-03,2024-08-10,Ekart,Delivered
187,2024-09-08,2024-09-14,Blue Dart,Delivered
188,2023-09-21,2023-09-23,Delhivery,Delivered
189,2023-08-28,2023-09-02,Delhivery,Delivered
190,2023-06-25,,Ecom Express,In Transit
191,2023-08-20,,Ekart,In Transit
192,2024-07-16,2024-07-20,Ecom Express,Delivered
193,2025-05-24,2025-05-27,Ekart,Delivered
194,2024-06-11,2024-06-17,Delhivery,Delivered
195,2025-03-15,,Delhivery,In Transit
196,2024-11-20,2024-11-22,Ekart,Delivered
197,2023-09-12,2023-09-18,Delhivery,Delivered
198,,,Ecom Express,Pending
199,2024-03-13,2024-03-15,Ecom Express,Delivered
200,2024-10-12,2024-10-18,XpressBees,Delivered
201,2023-05-20,2023-05-27,Blue Dart,Delivered
202,2023-12-29,,Ecom Express,In Transit
203,,,XpressBees,Pending
204,2024-05-07,2024-05-12,XpressBees,Delivered
205,2023-02-11,2023-02-15,DTDC,Delivered
206,2023-04-23,2023-04-25,XpressBees,Delivered
207,2024-08-08,2024-08-15,XpressBees,Delivered
208,2023-03-18,,Delhivery,In Transit
209,2023-09-10,2023-09-12,XpressBees,Delivered
210,2024-11-24,2024-11-27,Ecom Express,Delivered
211,2023-09-04,2023-09-09,Ekart,Delivered
212,2024-09-15,2024-09-19,XpressBees,Delivered
213,2023-10-10,2023-10-13,DTDC,Delivered
214,,,Ekart,Pending
215,2024-10-08,,Blue Dart,In Transit
216,2025-06-12,2025-06-15,Delhivery,Delivered
217,2025-03-13,2025-03-16,DTDC,Delivered
218,2024-07-24,2024-07-31,Ekart,Delivered
219,,,Ecom Express,Pending
220,2024-09-19,2024-09-24,Ecom Express,Delivered
221,2023-12-27,2024-01-01,Delhivery,Delivered
222,,,DTDC,Pending
223,2023-08-29,,Ekart,In Transit
224,2025-02-11,,Ekart,In Transit
225,2024-06-02,,Ekart,In Transit
226,2023-04-04,2023-04-09,Ecom Express,Delivered
227,,,DTDC,Pending
228,2024-03-17,2024-03-19,XpressBees,Delivered
229,2023-02-12,,XpressBees,In Transit
230,2025-03-22,,Ecom Express,In Transit
231,2023-04-18,2023-04-20,DTDC,Delivered
232,2023-03-02,2023-03-06,DTDC,Delivered
233,,,Blue Dart,Pending
234,2023-11-27,,XpressBees,In Transit
235,2024-01-04,,Blue Dart,In Transit
236,2023-04-10,2023-04-15,Blue Dart,Delivered
237,2023-06-05,2023-06-09,Ecom Express,Delivered
238,2023-12-27,2024-01-01,Blue Dart,Delivered
239,2024-06-13,2024-06-18,Ecom Express,Delivered
240,2023-07-23,,Blue Dart,In Transit
241,2025-04-23,2025-04-29,Delhivery,Delivered
242,2024-12-14,2024-12-17,Ekart,Delivered
243,2024-04-07,2024-04-13,Ekart,Delivered
244,2024-06-25,2024-06-28,XpressBees,Delivered
245,2025-05-01,,Ekart,In Transit
246,2024-09-25,,DTDC,In Transit
247,2023-03-31,2023-04-03,DTDC,Delivered
248,2024-07-06,2024-07-11,Ecom Express,Delivered
249,2024-09-10,2024-09-13,Delhivery,Delivered
250,2023-05-15,2023-05-18,Blue Dart,Delivered
251,2024-08-14,2024-08-18,Delhivery,Delivered
252,2025-04-04,,DTDC,In Transit
253,2024-12-14,2024-12-20,Ekart,Delivered
254,2024-04-21,2024-04-23,Blue Dart,Delivered
255,2023-01-26,2023-01-30,Delhivery,Delivered
256,2023-04-06,2023-04-09,Ecom Express,Delivered
257,2024-10-19,2024-10-23,DTDC,Delivered
258,2024-06-25,,Blue Dart,In Transit
259,2024-06-05,2024-06-10,Ecom Express,Delivered
260,2025-06-11,,DTDC,In Transit
261,2023-03-20,,Delhivery,In Transit
262,2024-10-01,2024-10-05,XpressBees,Delivered
263,2025-03-29,,Ekart,In Transit
264,2024-12-18,,Ekart,In Transit
265,2023-06-13,2023-06-15,Delhivery,Delivered
266,2024-06-17,2024-06-19,Delhivery,Delivered
267,2023-04-14,,Blue Dart,In Transit
268,2024-03-11,,Ecom Express,In Transit
269,2023-01-02,2023-01-05,Ecom Express,Delivered
270,2023-02-20,2023-02-23,Delhivery,Delivered
271,2024-10-08,,Ekart,In Transit
272,2025-01-01,2025-01-05,DTDC,Delivered
